dataset_id,role,source_type,doi_or_url,redistribution_status,notes
ds1_eraliev2021_m12_120c,primary preload-relaxation calibration,published paper DOI,10.1177/16878140211039428,metadata and derived fit only,"Steel-bolt thermal-cycling anchor; source DOI and derived fit table included; raw digitized values excluded pending redistribution confirmation."
ds2_eraliev2022_abs_120c,supplementary material-class comparison,published paper DOI,10.3390/app12063001,metadata and derived fit only,"Polymer-bolt comparison only; not central steel calibration; raw digitized values excluded pending redistribution confirmation."
extended_toy_case,analytical-limit and toy-case verification,generated output,outputs/extended_toy_case_summary.json,derived output included,"Generated by solver/extended_member_model.py using outputs/relaxation_fit_table.csv."
first_fixed_ieff_slice,first fixed-section sweep,generated output,outputs/w4_fixed_ieff_sweep_summary.csv,derived output included,"Generated by code/run_w4_fixed_ieff_sweep.py."
fixed_ieff_benchmark,main 90-case deterministic benchmark,generated output,outputs/benchmark_full.csv,derived output included,"Generated by code/run_w5_full_benchmark.py; history file included as a generated output."
sensitivity,eta envelope and row-shape sensitivity,generated output,outputs/w13_sensitivity_summary.csv,derived output included,"Generated by code/run_w13_sensitivity.py; supports Figure 5."
defensive_sensitivity,step-refinement and label-threshold sensitivity,generated output,outputs/step_refinement_summary.csv; outputs/label_threshold_sensitivity.csv,derived output included,"Generated by code/run_defensive_sensitivity.py; supports SI defensive checks."
timing,clean timing table,generated output,outputs/timing_table.csv,derived output included,"Generated by code/run_timing.py; reports machine-specific computational cost."
figures,programmatic scientific figures,generated output,figures/*.png and figures/*.py,derived output included,"Figure scripts and generated PNGs included for reproducibility."
archive_normalization,archive response-proxy cross-check,local derived table,outputs/archive_section_normalized_w3b_corrected.csv,derived output included,"Corrected section-normalization table approved by the author for public release; raw thesis/Abaqus archive files remain excluded."
